"sex" "age" "prov" "n" "E"
"300" "M" 97 "X2" 0 "8"
"301" "M" 98 "X2" 0 "4"
"302" "M" 99 "X2" 0 "2.5"
"303" "M" 100 "X2" 0 "4"
"405" "M" 0 "X3" 0 "1475.5"
"406" "M" 1 "X3" 0 "1470"
"407" "M" 2 "X3" 0 "1454"
"408" "M" 3 "X3" 0 "1422"
"409" "M" 4 "X3" 0 "1389.5"
"410" "M" 5 "X3" 0 "1390"
"411" "M" 6 "X3" 0 "1420"
"412" "M" 7 "X3" 0 "1410.5"
"413" "M" 8 "X3" 0 "1409.5"
"414" "M" 9 "X3" 0 "1427.5"
"415" "M" 10 "X3" 0 "1439"
"416" "M" 11 "X3" 0 "1472.5"
"417" "M" 12 "X3" 0 "1438.5"
"418" "M" 13 "X3" 0 "1438"
"419" "M" 14 "X3" 0 "1468"
"420" "M" 15 "X3" 0 "1540"
"421" "M" 16 "X3" 0 "1614.5"
"422" "M" 17 "X3" 1 "1716.5"
"423" "M" 18 "X3" 0 "1742"
"424" "M" 19 "X3" 0 "1725"
"425" "M" 20 "X3" 0 "1844"
"426" "M" 21 "X3" 0 "1974"
"427" "M" 22 "X3" 0 "2065"
"428" "M" 23 "X3" 0 "2262"
"429" "M" 24 "X3" 0 "2463.5"
"430" "M" 25 "X3" 0 "2539"
"431" "M" 26 "X3" 1 "2582"
"432" "M" 27 "X3" 0 "2671"
"433" "M" 28 "X3" 2 "2706.5"
"434" "M" 29 "X3" 0 "2756"
"435" "M" 30 "X3" 0 "2834"
"436" "M" 31 "X3" 0 "2824"
"437" "M" 32 "X3" 0 "2908.5"
"438" "M" 33 "X3" 0 "2961.5"
"439" "M" 34 "X3" 1 "2993.5"
"440" "M" 35 "X3" 3 "2941.5"
"441" "M" 36 "X3" 0 "2851.5"
"442" "M" 37 "X3" 0 "2830.5"
"443" "M" 38 "X3" 1 "2728.5"
"444" "M" 39 "X3" 1 "2632"
"445" "M" 40 "X3" 1 "2535.5"
"446" "M" 41 "X3" 0 "2430.5"
"447" "M" 42 "X3" 1 "2380.5"
"448" "M" 43 "X3" 2 "2376"
"449" "M" 44 "X3" 4 "2386.5"
"450" "M" 45 "X3" 3 "2361"
"451" "M" 46 "X3" 2 "2368.5"
"452" "M" 47 "X3" 2 "2332.5"
"453" "M" 48 "X3" 2 "2363"
"454" "M" 49 "X3" 5 "2396"
"455" "M" 50 "X3" 3 "2401.5"
"456" "M" 51 "X3" 2 "2405.5"
"457" "M" 52 "X3" 1 "2389"
"458" "M" 53 "X3" 3 "2106.5"
